goos: linux
goarch: amd64
pkg: compact-the/bench
cpu: Intel(R) Core(TM) i7-8700K CPU @ 3.70GHz
BenchmarkSetup_T3_N10_BW3  	   42522	     86251 ns/op	   47064 B/op	    2362 allocs/op
BenchmarkSetup_T3_N10_BW3  	   41665	     84896 ns/op	   47064 B/op	    2362 allocs/op
BenchmarkSetup_T3_N10_BW3  	   43654	     87046 ns/op	   47064 B/op	    2362 allocs/op
BenchmarkSetup_T3_N10_BW3  	   41491	     85218 ns/op	   47064 B/op	    2362 allocs/op
BenchmarkSetup_T3_N10_BW3  	   41892	     90802 ns/op	   47064 B/op	    2362 allocs/op
BenchmarkSetup_T3_N10_BW3  	   39062	     86311 ns/op	   47064 B/op	    2362 allocs/op
BenchmarkSetup_T3_N10_BW3  	   42294	     85244 ns/op	   47064 B/op	    2362 allocs/op
BenchmarkSetup_T3_N10_BW3  	   41653	     84603 ns/op	   47064 B/op	    2362 allocs/op
BenchmarkSetup_T3_N10_BW3  	   41922	     82677 ns/op	   47064 B/op	    2362 allocs/op
BenchmarkSetup_T3_N10_BW3  	   42819	     82625 ns/op	   47064 B/op	    2362 allocs/op
BenchmarkSetup_T3_N10_Vand 	   40783	     86971 ns/op	   47064 B/op	    2362 allocs/op
BenchmarkSetup_T3_N10_Vand 	   42714	     88226 ns/op	   47064 B/op	    2362 allocs/op
BenchmarkSetup_T3_N10_Vand 	   37832	     89789 ns/op	   47064 B/op	    2362 allocs/op
BenchmarkSetup_T3_N10_Vand 	   43028	     87241 ns/op	   47064 B/op	    2362 allocs/op
BenchmarkSetup_T3_N10_Vand 	   40258	     89529 ns/op	   47064 B/op	    2362 allocs/op
BenchmarkSetup_T3_N10_Vand 	   42060	     88835 ns/op	   47064 B/op	    2362 allocs/op
BenchmarkSetup_T3_N10_Vand 	   40376	     88381 ns/op	   47064 B/op	    2362 allocs/op
BenchmarkSetup_T3_N10_Vand 	   41218	     89461 ns/op	   47064 B/op	    2362 allocs/op
BenchmarkSetup_T3_N10_Vand 	   40356	     87836 ns/op	   47064 B/op	    2362 allocs/op
BenchmarkSetup_T3_N10_Vand 	   40911	     87707 ns/op	   47064 B/op	    2362 allocs/op
BenchmarkSetup_T2_N3       	  849891	      4577 ns/op	    2936 B/op	     123 allocs/op
BenchmarkSetup_T2_N3       	  740827	      4839 ns/op	    2936 B/op	     123 allocs/op
BenchmarkSetup_T2_N3       	  833890	      4506 ns/op	    2936 B/op	     123 allocs/op
BenchmarkSetup_T2_N3       	  839628	      4560 ns/op	    2936 B/op	     123 allocs/op
BenchmarkSetup_T2_N3       	  827431	      4538 ns/op	    2936 B/op	     123 allocs/op
BenchmarkSetup_T2_N3       	  781714	      4540 ns/op	    2936 B/op	     123 allocs/op
BenchmarkSetup_T2_N3       	  763754	      4535 ns/op	    2936 B/op	     123 allocs/op
BenchmarkSetup_T2_N3       	  833139	      4644 ns/op	    2936 B/op	     123 allocs/op
BenchmarkSetup_T2_N3       	  820330	      4567 ns/op	    2936 B/op	     123 allocs/op
BenchmarkSetup_T2_N3       	  680734	      4518 ns/op	    2936 B/op	     123 allocs/op
BenchmarkSetup_T4_N8       	   32247	    101126 ns/op	   73920 B/op	    2537 allocs/op
BenchmarkSetup_T4_N8       	   34930	     97704 ns/op	   73920 B/op	    2537 allocs/op
BenchmarkSetup_T4_N8       	   36834	     99066 ns/op	   73920 B/op	    2537 allocs/op
BenchmarkSetup_T4_N8       	   37554	     99678 ns/op	   73920 B/op	    2537 allocs/op
BenchmarkSetup_T4_N8       	   37774	     98653 ns/op	   73920 B/op	    2537 allocs/op
BenchmarkSetup_T4_N8       	   37188	     97718 ns/op	   73920 B/op	    2537 allocs/op
BenchmarkSetup_T4_N8       	   35901	     97026 ns/op	   73920 B/op	    2537 allocs/op
BenchmarkSetup_T4_N8       	   36007	     98151 ns/op	   73920 B/op	    2537 allocs/op
BenchmarkSetup_T4_N8       	   36356	     99135 ns/op	   73920 B/op	    2537 allocs/op
BenchmarkSetup_T4_N8       	   32990	    105338 ns/op	   73920 B/op	    2537 allocs/op
BenchmarkSetup_T5_N10      	    2680	   1259231 ns/op	 1215135 B/op	   31872 allocs/op
BenchmarkSetup_T5_N10      	    2456	   1335798 ns/op	 1215136 B/op	   31872 allocs/op
BenchmarkSetup_T5_N10      	    2662	   1243591 ns/op	 1215136 B/op	   31872 allocs/op
BenchmarkSetup_T5_N10      	    2276	   1503270 ns/op	 1215137 B/op	   31872 allocs/op
BenchmarkSetup_T5_N10      	    2594	   1327929 ns/op	 1215136 B/op	   31872 allocs/op
BenchmarkSetup_T5_N10      	    2475	   1306122 ns/op	 1215136 B/op	   31872 allocs/op
BenchmarkSetup_T5_N10      	    2892	   1296381 ns/op	 1215136 B/op	   31872 allocs/op
BenchmarkSetup_T5_N10      	    2786	   1282760 ns/op	 1215136 B/op	   31872 allocs/op
BenchmarkSetup_T5_N10      	    2866	   1222781 ns/op	 1215135 B/op	   31872 allocs/op
BenchmarkSetup_T5_N10      	    2818	   1311734 ns/op	 1215136 B/op	   31872 allocs/op
PASS
ok  	compact-the/bench	216.471s
